順位,レート,ポケモンID_1,ポケモン_1,フォルム_1,タイプ1_1,タイプ2_1,カテゴリー_1,テラスタイプ_1,持ち物_1,ポケモンID_2,ポケモン_2,フォルム_2,タイプ1_2,タイプ2_2,カテゴリー_2,テラスタイプ_2,持ち物_2,ポケモンID_3,ポケモン_3,フォルム_3,タイプ1_3,タイプ2_3,カテゴリー_3,テラスタイプ_3,持ち物_3,ポケモンID_4,ポケモン_4,フォルム_4,タイプ1_4,タイプ2_4,カテゴリー_4,テラスタイプ_4,持ち物_4,ポケモンID_5,ポケモン_5,フォルム_5,タイプ1_5,タイプ2_5,カテゴリー_5,テラスタイプ_5,持ち物_5,ポケモンID_6,ポケモン_6,フォルム_6,タイプ1_6,タイプ2_6,カテゴリー_6,テラスタイプ_6,持ち物_6
142,2622.886,0121-00,スターミー,,みず,エスパー,一般,,スターミナイト,1018-00,ブリジュラス,,はがね,ドラゴン,一般,,しろいハーブ,0908-00,マスカーニャ,,くさ,あく,一般,,こだわりスカーフ,0823-00,アーマーガア,,ひこう,はがね,一般,,たべのこし,0534-00,ローブシン,,かくとう,,一般,,くろおび,0036-00,ピクシー,,フェアリー,,一般,,ピクシナイト
145,2621.122,1018-00,ブリジュラス,,はがね,ドラゴン,一般,,オボンのみ,0445-00,ガブリアス,,ドラゴン,じめん,一般,,こだわりスカーフ,0730-00,アシレーヌ,,みず,フェアリー,一般,,ラムのみ,0778-00,ミミッキュ,ばけたすがた,ゴースト,フェアリー,一般,,ピントレンズ,0149-00,カイリュー,,ドラゴン,ひこう,一般,,カイリュナイト,0428-00,ミミロップ,,ノーマル,,一般,,ミミロップナイト
146,2620.804,0149-00,カイリュー,,ドラゴン,ひこう,一般,,カイリュナイト,0448-00,ルカリオ,,かくとう,はがね,一般,,ルカリオナイト,0908-00,マスカーニャ,,くさ,あく,一般,,こだわりスカーフ,0823-00,アーマーガア,,ひこう,はがね,一般,,オボンのみ,0730-00,アシレーヌ,,みず,フェアリー,一般,,しんぴのしずく,0902-00,イダイトウ,オスのすがた,みず,ゴースト,一般,,きあいのタスキ
148,2618.295,1018-00,ブリジュラス,,はがね,ドラゴン,一般,,ピントレンズ,0902-00,イダイトウ,オスのすがた,みず,ゴースト,一般,,こだわりスカーフ,0071-00,ウツボット,,くさ,どく,一般,,ウツボットナイト,0700-00,ニンフィア,,フェアリー,,一般,,たべのこし,0445-00,ガブリアス,,ドラゴン,じめん,一般,,オボンのみ,0212-00,ハッサム,,むし,はがね,一般,,ハッサムナイト
150,2617.516,0445-00,ガブリアス,,ドラゴン,じめん,一般,,オボンのみ,0670-05,フラエッテ,えいえんのはな,フェアリー,,一般,,フラエッテナイト,0655-00,マフォクシー,,ほのお,エスパー,一般,,マフォクシナイト,0983-00,ドドゲザン,,あく,はがね,一般,,くろいメガネ,0823-00,アーマーガア,,ひこう,はがね,一般,,たべのこし,0902-00,イダイトウ,オスのすがた,みず,ゴースト,一般,,こだわりスカーフ
151,2617.451,0212-00,ハッサム,,むし,はがね,一般,,ハッサムナイト,0730-00,アシレーヌ,,みず,フェアリー,一般,,たべのこし,0635-00,サザンドラ,,あく,ドラゴン,一般,,こだわりスカーフ,0115-00,ガルーラ,,ノーマル,,一般,,ガルーラナイト,0450-00,カバルドン,,じめん,,一般,,オボンのみ,0937-00,ソウブレイズ,,ほのお,ゴースト,一般,,きあいのタスキ
152,2617.102,0450-00,カバルドン,,じめん,,一般,,オボンのみ,0149-00,カイリュー,,ドラゴン,ひこう,一般,,カイリュナイト,0778-00,ミミッキュ,ばけたすがた,ゴースト,フェアリー,一般,,ラムのみ,0071-00,ウツボット,,くさ,どく,一般,,ウツボットナイト,0730-00,アシレーヌ,,みず,フェアリー,一般,,たべのこし,0983-00,ドドゲザン,,あく,はがね,一般,,くろいメガネ
154,2616.394,0428-00,ミミロップ,,ノーマル,,一般,,ミミロップナイト,0823-00,アーマーガア,,ひこう,はがね,一般,,たべのこし,0730-00,アシレーヌ,,みず,フェアリー,一般,,オボンのみ,0635-00,サザンドラ,,あく,ドラゴン,一般,,こだわりスカーフ,0445-00,ガブリアス,,ドラゴン,じめん,一般,,きあいのタスキ,0094-00,ゲンガー,,ゴースト,どく,一般,,ゲンガナイト
155,2616.172,0445-00,ガブリアス,,ドラゴン,じめん,一般,,きあいのタスキ,0670-05,フラエッテ,えいえんのはな,フェアリー,,一般,,フラエッテナイト,0911-00,ラウドボーン,,ほのお,ゴースト,一般,,カシブのみ,0752-00,オニシズクモ,,みず,むし,一般,,オボンのみ,0197-00,ブラッキー,,あく,,一般,,たべのこし,0094-00,ゲンガー,,ゴースト,どく,一般,,ゲンガナイト
156,2616.126,0428-00,ミミロップ,,ノーマル,,一般,,ミミロップナイト,0823-00,アーマーガア,,ひこう,はがね,一般,,オボンのみ,0939-00,ハラバリー,,でんき,,一般,,たべのこし,0006-00,リザードン,,ほのお,ひこう,一般,,リザードナイトＸ,0445-00,ガブリアス,,ドラゴン,じめん,一般,,こだわりスカーフ,0902-00,イダイトウ,オスのすがた,みず,ゴースト,一般,,しんぴのしずく
157,2615.996,0670-05,フラエッテ,えいえんのはな,フェアリー,,一般,,フラエッテナイト,0908-00,マスカーニャ,,くさ,あく,一般,,きあいのタスキ,1018-00,ブリジュラス,,はがね,ドラゴン,一般,,しろいハーブ,0130-00,ギャラドス,,みず,ひこう,一般,,ギャラドスナイト,0902-00,イダイトウ,オスのすがた,みず,ゴースト,一般,,こだわりスカーフ,0823-00,アーマーガア,,ひこう,はがね,一般,,たべのこし
159,2614.840,0006-00,リザードン,,ほのお,ひこう,一般,,リザードナイトＹ,0212-00,ハッサム,,むし,はがね,一般,,オボンのみ,0635-00,サザンドラ,,あく,ドラゴン,一般,,こだわりスカーフ,0445-00,ガブリアス,,ドラゴン,じめん,一般,,きあいのタスキ,0858-00,ブリムオン,,エスパー,フェアリー,一般,,たべのこし,0428-00,ミミロップ,,ノーマル,,一般,,ミミロップナイト
160,2614.651,0450-00,カバルドン,,じめん,,一般,,オボンのみ,0115-00,ガルーラ,,ノーマル,,一般,,ガルーラナイト,0983-00,ドドゲザン,,あく,はがね,一般,,ラムのみ,0730-00,アシレーヌ,,みず,フェアリー,一般,,たべのこし,0445-00,ガブリアス,,ドラゴン,じめん,一般,,こだわりスカーフ,0094-00,ゲンガー,,ゴースト,どく,一般,,ゲンガナイト
161,2614.101,0428-00,ミミロップ,,ノーマル,,一般,,ミミロップナイト,0445-00,ガブリアス,,ドラゴン,じめん,一般,,ラムのみ,0730-00,アシレーヌ,,みず,フェアリー,一般,,オボンのみ,0094-00,ゲンガー,,ゴースト,どく,一般,,ゲンガナイト,0823-00,アーマーガア,,ひこう,はがね,一般,,たべのこし,0970-00,キラフロル,,いわ,どく,一般,,こだわりスカーフ
163,2613.997,0282-00,サーナイト,,エスパー,フェアリー,一般,,サーナイトナイト,0778-00,ミミッキュ,ばけたすがた,ゴースト,フェアリー,一般,,のろいのおふだ,0450-00,カバルドン,,じめん,,一般,,オボンのみ,0448-00,ルカリオ,,かくとう,はがね,一般,,ルカリオナイト,0479-02,ロトム,ウォッシュロトム,でんき,みず,一般,,たべのこし,0635-00,サザンドラ,,あく,ドラゴン,一般,,こだわりスカーフ
165,2613.635,0154-00,メガニウム,,くさ,,一般,,メガニウムナイト,0983-00,ドドゲザン,,あく,はがね,一般,,くろいメガネ,0887-00,ドラパルト,,ドラゴン,ゴースト,一般,,たべのこし,0970-00,キラフロル,,いわ,どく,一般,,きあいのタスキ,0701-00,ルチャブル,,かくとう,ひこう,一般,,ルチャブルナイト,0479-02,ロトム,ウォッシュロトム,でんき,みず,一般,,こだわりスカーフ
166,2613.560,0655-00,マフォクシー,,ほのお,エスパー,一般,,マフォクシナイト,0227-00,エアームド,,はがね,ひこう,一般,,オボンのみ,0670-05,フラエッテ,えいえんのはな,フェアリー,,一般,,フラエッテナイト,0635-00,サザンドラ,,あく,ドラゴン,一般,,ヤチェのみ,0681-00,ギルガルド,シールドフォルム,はがね,ゴースト,一般,,たべのこし,0445-00,ガブリアス,,ドラゴン,じめん,一般,,こだわりスカーフ
168,2613.347,0448-00,ルカリオ,,かくとう,はがね,一般,,ルカリオナイト,0094-00,ゲンガー,,ゴースト,どく,一般,,ゲンガナイト,0823-00,アーマーガア,,ひこう,はがね,一般,,オボンのみ,0939-00,ハラバリー,,でんき,,一般,,たべのこし,0445-00,ガブリアス,,ドラゴン,じめん,一般,,こだわりスカーフ,0658-00,ゲッコウガ,,みず,あく,一般,,きあいのタスキ
169,2613.222,0448-00,ルカリオ,,かくとう,はがね,一般,,ルカリオナイト,0199-01,ヤドキング,ガラルのすがた,どく,エスパー,一般,,オボンのみ,0823-00,アーマーガア,,ひこう,はがね,一般,,たべのこし,0445-00,ガブリアス,,ドラゴン,じめん,一般,,きあいのタスキ,0248-00,バンギラス,,いわ,あく,一般,,バンギラスナイト,1018-00,ブリジュラス,,はがね,ドラゴン,一般,,しろいハーブ
171,2612.993,0214-00,ヘラクロス,,むし,かくとう,一般,,ヘラクロスナイト,0350-00,ミロカロス,,みず,,一般,,オボンのみ,0908-00,マスカーニャ,,くさ,あく,一般,,こだわりスカーフ,0149-00,カイリュー,,ドラゴン,ひこう,一般,,カイリュナイト,0681-00,ギルガルド,シールドフォルム,はがね,ゴースト,一般,,たべのこし,0143-00,カビゴン,,ノーマル,,一般,,ヨプのみ
172,2612.844,0748-00,ドヒドイデ,,どく,みず,一般,,持ち物なし,0227-00,エアームド,,はがね,ひこう,一般,,たべのこし,0248-00,バンギラス,,いわ,あく,一般,,カゴのみ,0003-00,フシギバナ,,くさ,どく,一般,,フシギバナイト,0121-00,スターミー,,みず,エスパー,一般,,スターミナイト,0635-00,サザンドラ,,あく,ドラゴン,一般,,こだわりスカーフ
175,2612.359,0121-00,スターミー,,みず,エスパー,一般,,スターミナイト,0823-00,アーマーガア,,ひこう,はがね,一般,,オボンのみ,0445-00,ガブリアス,,ドラゴン,じめん,一般,,きあいのタスキ,0908-00,マスカーニャ,,くさ,あく,一般,,こだわりスカーフ,0681-00,ギルガルド,シールドフォルム,はがね,ゴースト,一般,,のろいのおふだ,0970-00,キラフロル,,いわ,どく,一般,,たべのこし
176,2611.949,1018-00,ブリジュラス,,はがね,ドラゴン,一般,,りゅうのキバ,0681-00,ギルガルド,シールドフォルム,はがね,ゴースト,一般,,のろいのおふだ,0121-00,スターミー,,みず,エスパー,一般,,スターミナイト,0428-00,ミミロップ,,ノーマル,,一般,,ミミロップナイト,0635-00,サザンドラ,,あく,ドラゴン,一般,,こだわりスカーフ,0184-00,マリルリ,,みず,フェアリー,一般,,オボンのみ
177,2611.852,0970-00,キラフロル,,いわ,どく,一般,,きあいのタスキ,0956-00,クエスパトラ,,エスパー,,一般,,オボンのみ,0911-00,ラウドボーン,,ほのお,ゴースト,一般,,カシブのみ,0036-00,ピクシー,,フェアリー,,一般,,ピクシナイト,1018-00,ブリジュラス,,はがね,ドラゴン,一般,,たべのこし,0571-01,ゾロアーク,ヒスイのすがた,ノーマル,ゴースト,一般,,こだわりスカーフ
178,2611.753,0445-00,ガブリアス,,ドラゴン,じめん,一般,,こだわりスカーフ,0670-05,フラエッテ,えいえんのはな,フェアリー,,一般,,フラエッテナイト,1018-00,ブリジュラス,,はがね,ドラゴン,一般,,たべのこし,0655-00,マフォクシー,,ほのお,エスパー,一般,,マフォクシナイト,0823-00,アーマーガア,,ひこう,はがね,一般,,オボンのみ,0503-01,ダイケンキ,ヒスイのすがた,みず,あく,一般,,きあいのタスキ
181,2611.549,0445-00,ガブリアス,,ドラゴン,じめん,一般,,オボンのみ,0130-00,ギャラドス,,みず,ひこう,一般,,ギャラドスナイト,0983-00,ドドゲザン,,あく,はがね,一般,,くろいメガネ,0670-05,フラエッテ,えいえんのはな,フェアリー,,一般,,フラエッテナイト,0637-00,ウルガモス,,むし,ほのお,一般,,たべのこし,0902-00,イダイトウ,オスのすがた,みず,ゴースト,一般,,しんぴのしずく
182,2611.386,0115-00,ガルーラ,,ノーマル,,一般,,ガルーラナイト,0445-00,ガブリアス,,ドラゴン,じめん,一般,,こだわりスカーフ,0094-00,ゲンガー,,ゴースト,どく,一般,,ゲンガナイト,0730-00,アシレーヌ,,みず,フェアリー,一般,,オボンのみ,0681-00,ギルガルド,シールドフォルム,はがね,ゴースト,一般,,のろいのおふだ,0823-00,アーマーガア,,ひこう,はがね,一般,,たべのこし
184,2610.514,0652-00,ブリガロン,,くさ,かくとう,一般,,持ち物なし,0395-00,エンペルト,,みず,はがね,一般,,たべのこし,0479-01,ロトム,ヒートロトム,でんき,ほのお,一般,,こだわりスカーフ,1018-00,ブリジュラス,,はがね,ドラゴン,一般,,オボンのみ,0350-00,ミロカロス,,みず,,一般,,持ち物なし,0127-00,カイロス,,むし,,一般,,カイロスナイト
185,2610.504,0282-00,サーナイト,,エスパー,フェアリー,一般,,サーナイトナイト,0428-00,ミミロップ,,ノーマル,,一般,,ミミロップナイト,0143-00,カビゴン,,ノーマル,,一般,,ヨプのみ,0902-00,イダイトウ,オスのすがた,みず,ゴースト,一般,,きあいのタスキ,1018-00,ブリジュラス,,はがね,ドラゴン,一般,,シュカのみ,0497-00,ジャローダ,,くさ,,一般,,たべのこし
186,2610.487,0445-00,ガブリアス,,ドラゴン,じめん,一般,,きあいのタスキ,0197-00,ブラッキー,,あく,,一般,,たべのこし,0670-05,フラエッテ,えいえんのはな,フェアリー,,一般,,フラエッテナイト,0006-00,リザードン,,ほのお,ひこう,一般,,リザードナイトＹ,0823-00,アーマーガア,,ひこう,はがね,一般,,オボンのみ,0902-00,イダイトウ,オスのすがた,みず,ゴースト,一般,,こだわりスカーフ
188,2610.358,0448-00,ルカリオ,,かくとう,はがね,一般,,ルカリオナイト,0006-00,リザードン,,ほのお,ひこう,一般,,リザードナイトＹ,0908-00,マスカーニャ,,くさ,あく,一般,,きあいのタスキ,0730-00,アシレーヌ,,みず,フェアリー,一般,,たべのこし,0445-00,ガブリアス,,ドラゴン,じめん,一般,,オボンのみ,0902-00,イダイトウ,オスのすがた,みず,ゴースト,一般,,こだわりスカーフ
189,2610.188,0658-00,ゲッコウガ,,みず,あく,一般,,ゲッコウガナイト,0983-00,ドドゲザン,,あく,はがね,一般,,オボンのみ,0730-00,アシレーヌ,,みず,フェアリー,一般,,こだわりスカーフ,0003-00,フシギバナ,,くさ,どく,一般,,フシギバナイト,0937-00,ソウブレイズ,,ほのお,ゴースト,一般,,きあいのタスキ,0149-00,カイリュー,,ドラゴン,ひこう,一般,,ラムのみ
191,2609.934,0428-00,ミミロップ,,ノーマル,,一般,,ミミロップナイト,0094-00,ゲンガー,,ゴースト,どく,一般,,きあいのタスキ,0445-00,ガブリアス,,ドラゴン,じめん,一般,,ラムのみ,1018-00,ブリジュラス,,はがね,ドラゴン,一般,,オボンのみ,0227-00,エアームド,,はがね,ひこう,一般,,エアームドナイト,0902-00,イダイトウ,オスのすがた,みず,ゴースト,一般,,のろいのおふだ
192,2609.824,0428-00,ミミロップ,,ノーマル,,一般,,ミミロップナイト,0121-00,スターミー,,みず,エスパー,一般,,スターミナイト,0094-00,ゲンガー,,ゴースト,どく,一般,,きあいのタスキ,0132-00,メタモン,,ノーマル,,一般,,こだわりスカーフ,0823-00,アーマーガア,,ひこう,はがね,一般,,オボンのみ,0939-00,ハラバリー,,でんき,,一般,,たべのこし
195,2609.636,0130-00,ギャラドス,,みず,ひこう,一般,,ギャラドスナイト,0956-00,クエスパトラ,,エスパー,,一般,,オボンのみ,0036-00,ピクシー,,フェアリー,,一般,,ピクシナイト,0637-00,ウルガモス,,むし,ほのお,一般,,ラムのみ,0445-00,ガブリアス,,ドラゴン,じめん,一般,,きあいのタスキ,1018-00,ブリジュラス,,はがね,ドラゴン,一般,,たべのこし
197,2609.330,0428-00,ミミロップ,,ノーマル,,一般,,ミミロップナイト,0670-05,フラエッテ,えいえんのはな,フェアリー,,一般,,フラエッテナイト,0778-00,ミミッキュ,ばけたすがた,ゴースト,フェアリー,一般,,のろいのおふだ,0445-00,ガブリアス,,ドラゴン,じめん,一般,,ラムのみ,0937-00,ソウブレイズ,,ほのお,ゴースト,一般,,きあいのタスキ,0902-01,イダイトウ,メスのすがた,みず,ゴースト,一般,,オボンのみ
198,2608.990,0115-00,ガルーラ,,ノーマル,,一般,,ガルーラナイト,0778-00,ミミッキュ,ばけたすがた,ゴースト,フェアリー,一般,,ラムのみ,0445-00,ガブリアス,,ドラゴン,じめん,一般,,きあいのタスキ,0227-00,エアームド,,はがね,ひこう,一般,,エアームドナイト,0637-00,ウルガモス,,むし,ほのお,一般,,こだわりスカーフ,0009-00,カメックス,,みず,,一般,,カメックスナイト
199,2608.926,0450-00,カバルドン,,じめん,,一般,,オボンのみ,0149-00,カイリュー,,ドラゴン,ひこう,一般,,カイリュナイト,0681-00,ギルガルド,シールドフォルム,はがね,ゴースト,一般,,たべのこし,0448-00,ルカリオ,,かくとう,はがね,一般,,ルカリオナイト,0908-00,マスカーニャ,,くさ,あく,一般,,こだわりスカーフ,0130-00,ギャラドス,,みず,ひこう,一般,,ラムのみ
201,2608.659,0197-00,ブラッキー,,あく,,一般,,たべのこし,0670-05,フラエッテ,えいえんのはな,フェアリー,,一般,,フラエッテナイト,0911-00,ラウドボーン,,ほのお,ゴースト,一般,,カシブのみ,0445-00,ガブリアス,,ドラゴン,じめん,一般,,きあいのタスキ,0752-00,オニシズクモ,,みず,むし,一般,,オボンのみ,0094-00,ゲンガー,,ゴースト,どく,一般,,ゲンガナイト
204,2608.375,0748-00,ドヒドイデ,,どく,みず,一般,,たべのこし,0080-00,ヤドラン,,みず,エスパー,一般,,ヤドランナイト,0658-00,ゲッコウガ,,みず,あく,一般,,きあいのタスキ,0319-00,サメハダー,,みず,あく,一般,,サメハダナイト,0130-00,ギャラドス,,みず,ひこう,一般,,ギャラドスナイト,0503-01,ダイケンキ,ヒスイのすがた,みず,あく,一般,,ラムのみ
207,2608.327,0149-00,カイリュー,,ドラゴン,ひこう,一般,,カイリュナイト,0445-00,ガブリアス,,ドラゴン,じめん,一般,,こだわりスカーフ,0823-00,アーマーガア,,ひこう,はがね,一般,,オボンのみ,0970-00,キラフロル,,いわ,どく,一般,,きあいのタスキ,0121-00,スターミー,,みず,エスパー,一般,,スターミナイト,0939-00,ハラバリー,,でんき,,一般,,たべのこし
209,2607.953,0823-00,アーマーガア,,ひこう,はがね,一般,,たべのこし,0445-00,ガブリアス,,ドラゴン,じめん,一般,,ラムのみ,0730-00,アシレーヌ,,みず,フェアリー,一般,,カゴのみ,0983-00,ドドゲザン,,あく,はがね,一般,,くろいメガネ,0655-00,マフォクシー,,ほのお,エスパー,一般,,マフォクシナイト,0695-00,エレザード,,でんき,ノーマル,一般,,こだわりスカーフ
213,2607.524,0702-00,デデンネ,,でんき,フェアリー,一般,,こだわりスカーフ,0025-00,ピカチュウ,,でんき,,一般,,でんきだま,0428-00,ミミロップ,,ノーマル,,一般,,ミミロップナイト,0658-00,ゲッコウガ,,みず,あく,一般,,きあいのタスキ,0706-01,ヌメルゴン,ヒスイのすがた,はがね,ドラゴン,一般,,たべのこし,0080-00,ヤドラン,,みず,エスパー,一般,,ヤドランナイト
214,2607.456,0115-00,ガルーラ,,ノーマル,,一般,,ガルーラナイト,0094-00,ゲンガー,,ゴースト,どく,一般,,ゲンガナイト,0132-00,メタモン,,ノーマル,,一般,,きあいのタスキ,0730-00,アシレーヌ,,みず,フェアリー,一般,,オボンのみ,1018-00,ブリジュラス,,はがね,ドラゴン,一般,,たべのこし,0445-00,ガブリアス,,ドラゴン,じめん,一般,,こだわりスカーフ
216,2607.330,0184-00,マリルリ,,みず,フェアリー,一般,,オボンのみ,0448-00,ルカリオ,,かくとう,はがね,一般,,ルカリオナイト,1018-00,ブリジュラス,,はがね,ドラゴン,一般,,しろいハーブ,0149-00,カイリュー,,ドラゴン,ひこう,一般,,カイリュナイト,0902-00,イダイトウ,オスのすがた,みず,ゴースト,一般,,きあいのタスキ,0115-00,ガルーラ,,ノーマル,,一般,,ガルーラナイト
217,2607.091,0197-00,ブラッキー,,あく,,一般,,たべのこし,0655-00,マフォクシー,,ほのお,エスパー,一般,,マフォクシナイト,0970-00,キラフロル,,いわ,どく,一般,,きあいのタスキ,0681-00,ギルガルド,シールドフォルム,はがね,ゴースト,一般,,のろいのおふだ,0748-00,ドヒドイデ,,どく,みず,一般,,オボンのみ,0212-00,ハッサム,,むし,はがね,一般,,持ち物なし
220,2606.623,0130-00,ギャラドス,,みず,ひこう,一般,,ギャラドスナイト,0655-00,マフォクシー,,ほのお,エスパー,一般,,マフォクシナイト,1018-00,ブリジュラス,,はがね,ドラゴン,一般,,オボンのみ,0778-00,ミミッキュ,ばけたすがた,ゴースト,フェアリー,一般,,ようせいのハネ,0970-00,キラフロル,,いわ,どく,一般,,キラフロルナイト,0473-00,マンムー,,こおり,じめん,一般,,きあいのタスキ
221,2606.515,0197-00,ブラッキー,,あく,,一般,,たべのこし,0094-00,ゲンガー,,ゴースト,どく,一般,,ゲンガナイト,0445-00,ガブリアス,,ドラゴン,じめん,一般,,こだわりスカーフ,0184-00,マリルリ,,みず,フェアリー,一般,,ラムのみ,0823-00,アーマーガア,,ひこう,はがね,一般,,オボンのみ,0006-00,リザードン,,ほのお,ひこう,一般,,リザードナイトＹ
222,2605.968,0952-00,スコヴィラン,,くさ,ほのお,一般,,たべのこし,0036-00,ピクシー,,フェアリー,,一般,,ピクシナイト,0038-01,キュウコン,アローラのすがた,こおり,フェアリー,一般,,ビアーのみ,0970-00,キラフロル,,いわ,どく,一般,,きあいのタスキ,0956-00,クエスパトラ,,エスパー,,一般,,オボンのみ,0510-00,レパルダス,,あく,,一般,,ひかりのこな
223,2605.860,0681-00,ギルガルド,シールドフォルム,はがね,ゴースト,一般,,たべのこし,0130-00,ギャラドス,,みず,ひこう,一般,,ギャラドスナイト,1018-00,ブリジュラス,,はがね,ドラゴン,一般,,りゅうのキバ,0970-00,キラフロル,,いわ,どく,一般,,きあいのタスキ,0479-01,ロトム,ヒートロトム,でんき,ほのお,一般,,ラムのみ,0670-05,フラエッテ,えいえんのはな,フェアリー,,一般,,こだわりスカーフ
224,2605.837,0670-05,フラエッテ,えいえんのはな,フェアリー,,一般,,フラエッテナイト,0445-00,ガブリアス,,ドラゴン,じめん,一般,,オボンのみ,0983-00,ドドゲザン,,あく,はがね,一般,,くろいメガネ,0212-00,ハッサム,,むし,はがね,一般,,ハッサムナイト,0658-00,ゲッコウガ,,みず,あく,一般,,きあいのタスキ,0637-00,ウルガモス,,むし,ほのお,一般,,たべのこし
225,2605.764,0282-00,サーナイト,,エスパー,フェアリー,一般,,サーナイトナイト,0350-00,ミロカロス,,みず,,一般,,たべのこし,0635-00,サザンドラ,,あく,ドラゴン,一般,,こだわりスカーフ,0937-00,ソウブレイズ,,ほのお,ゴースト,一般,,きあいのタスキ,0212-00,ハッサム,,むし,はがね,一般,,オボンのみ,0115-00,ガルーラ,,ノーマル,,一般,,ガルーラナイト
226,2605.722,0952-00,スコヴィラン,,くさ,ほのお,一般,,スコヴィラナイト,0094-00,ゲンガー,,ゴースト,どく,一般,,ゲンガナイト,0670-05,フラエッテ,えいえんのはな,フェアリー,,一般,,フラエッテナイト,0902-00,イダイトウ,オスのすがた,みず,ゴースト,一般,,こだわりスカーフ,0445-00,ガブリアス,,ドラゴン,じめん,一般,,きあいのタスキ,0823-00,アーマーガア,,ひこう,はがね,一般,,持ち物なし
227,2605.456,0670-05,フラエッテ,えいえんのはな,フェアリー,,一般,,フラエッテナイト,0750-00,バンバドロ,,じめん,,一般,,たべのこし,0681-00,ギルガルド,シールドフォルム,はがね,ゴースト,一般,,のろいのおふだ,0121-00,スターミー,,みず,エスパー,一般,,スターミナイト,0635-00,サザンドラ,,あく,ドラゴン,一般,,こだわりスカーフ,0939-00,ハラバリー,,でんき,,一般,,オボンのみ
228,2605.443,0308-00,チャーレム,,かくとう,エスパー,一般,,チャーレムナイト,0970-00,キラフロル,,いわ,どく,一般,,キラフロルナイト,0130-00,ギャラドス,,みず,ひこう,一般,,オボンのみ,0908-00,マスカーニャ,,くさ,あく,一般,,こだわりスカーフ,0681-00,ギルガルド,シールドフォルム,はがね,ゴースト,一般,,たべのこし,0730-00,アシレーヌ,,みず,フェアリー,一般,,きあいのタスキ
230,2605.201,0670-05,フラエッテ,えいえんのはな,フェアリー,,一般,,フラエッテナイト,0445-00,ガブリアス,,ドラゴン,じめん,一般,,オボンのみ,1018-00,ブリジュラス,,はがね,ドラゴン,一般,,こだわりスカーフ,0823-00,アーマーガア,,ひこう,はがね,一般,,たべのこし,0637-00,ウルガモス,,むし,ほのお,一般,,ラムのみ,0009-00,カメックス,,みず,,一般,,カメックスナイト
231,2605.130,0094-00,ゲンガー,,ゴースト,どく,一般,,ゲンガナイト,0197-00,ブラッキー,,あく,,一般,,たべのこし,0445-00,ガブリアス,,ドラゴン,じめん,一般,,きあいのタスキ,0670-05,フラエッテ,えいえんのはな,フェアリー,,一般,,フラエッテナイト,0902-00,イダイトウ,オスのすがた,みず,ゴースト,一般,,しんぴのしずく,0823-00,アーマーガア,,ひこう,はがね,一般,,オボンのみ
232,2604.977,0670-05,フラエッテ,えいえんのはな,フェアリー,,一般,,フラエッテナイト,0445-00,ガブリアス,,ドラゴン,じめん,一般,,きあいのタスキ,1018-00,ブリジュラス,,はがね,ドラゴン,一般,,たべのこし,0902-00,イダイトウ,オスのすがた,みず,ゴースト,一般,,こだわりスカーフ,0752-00,オニシズクモ,,みず,むし,一般,,オボンのみ,0130-00,ギャラドス,,みず,ひこう,一般,,ギャラドスナイト
233,2604.848,0130-00,ギャラドス,,みず,ひこう,一般,,ギャラドスナイト,0094-00,ゲンガー,,ゴースト,どく,一般,,ゲンガナイト,0681-00,ギルガルド,シールドフォルム,はがね,ゴースト,一般,,きあいのタスキ,0660-00,ホルード,,ノーマル,じめん,一般,,こだわりスカーフ,0752-00,オニシズクモ,,みず,むし,一般,,オボンのみ,0450-00,カバルドン,,じめん,,一般,,たべのこし
236,2604.696,0652-00,ブリガロン,,くさ,かくとう,一般,,ブリガロナイト,0199-01,ヤドキング,ガラルのすがた,どく,エスパー,一般,,オボンのみ,0445-00,ガブリアス,,ドラゴン,じめん,一般,,きあいのタスキ,0212-00,ハッサム,,むし,はがね,一般,,ハッサムナイト,0902-00,イダイトウ,オスのすがた,みず,ゴースト,一般,,こだわりスカーフ,0197-00,ブラッキー,,あく,,一般,,たべのこし
238,2604.593,0197-00,ブラッキー,,あく,,一般,,たべのこし,0212-00,ハッサム,,むし,はがね,一般,,ハッサムナイト,0911-00,ラウドボーン,,ほのお,ゴースト,一般,,オボンのみ,0149-00,カイリュー,,ドラゴン,ひこう,一般,,カイリュナイト,0094-00,ゲンガー,,ゴースト,どく,一般,,きあいのタスキ,0445-00,ガブリアス,,ドラゴン,じめん,一般,,こだわりスカーフ
240,2604.569,0094-00,ゲンガー,,ゴースト,どく,一般,,ゲンガナイト,0445-00,ガブリアス,,ドラゴン,じめん,一般,,こだわりスカーフ,0115-00,ガルーラ,,ノーマル,,一般,,ガルーラナイト,0730-00,アシレーヌ,,みず,フェアリー,一般,,オボンのみ,0937-00,ソウブレイズ,,ほのお,ゴースト,一般,,きあいのタスキ,0823-00,アーマーガア,,ひこう,はがね,一般,,たべのこし
